full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
jeremylongshore/claude-code-plugins-plus-skills,1673,1673,210,1,1,0,https://github.com/jeremylongshore/claude-code-plugins-plus-skills
JessyTsui/Claude-Code-Remote,1171,1171,125,0,0,0,https://github.com/JessyTsui/Claude-Code-Remote
simonw/claude-code-transcripts,1148,1148,133,0,0,0,https://github.com/simonw/claude-code-transcripts
Alishahryar1/free-claude-code,1068,1068,129,2,2,0,https://github.com/Alishahryar1/free-claude-code
KimYx0207/Claude-Code-x-OpenClaw-Guide-Zh,2199,2199,366,2,2,1,https://github.com/KimYx0207/Claude-Code-x-OpenClaw-Guide-Zh
0xfurai/claude-code-subagents,784,784,144,0,0,0,https://github.com/0xfurai/claude-code-subagents
jarrodwatts/claude-code-config,990,990,126,2,2,0,https://github.com/jarrodwatts/claude-code-config
peterkrueck/Claude-Code-Development-Kit,1329,1329,153,0,0,-1,https://github.com/peterkrueck/Claude-Code-Development-Kit
winfunc/opcode,21035,21035,1621,4,4,1,https://github.com/winfunc/opcode
alirezarezvani/claude-skills,6131,6131,721,27,27,7,https://github.com/alirezarezvani/claude-skills
pchalasani/claude-code-tools,1597,1597,101,0,0,0,https://github.com/pchalasani/claude-code-tools
rohitg00/awesome-claude-code-toolkit,869,869,178,0,0,5,https://github.com/rohitg00/awesome-claude-code-toolkit
cixingguangming55555/wechat-bot,2533,2533,663,0,0,0,https://github.com/cixingguangming55555/wechat-bot
d-kimuson/claude-code-viewer,986,986,116,0,0,0,https://github.com/d-kimuson/claude-code-viewer
alirezarezvani/claude-code-tresor,632,632,143,1,1,1,https://github.com/alirezarezvani/claude-code-tresor
revfactory/claude-code-mastering,762,762,124,0,0,0,https://github.com/revfactory/claude-code-mastering
wasabeef/claude-code-cookbook,1045,1045,111,0,0,0,https://github.com/wasabeef/claude-code-cookbook
ComposioHQ/awesome-claude-skills,46569,46569,4741,75,75,13,https://github.com/ComposioHQ/awesome-claude-skills
anthropics/claude-agent-sdk-demos,1776,1776,272,2,2,0,https://github.com/anthropics/claude-agent-sdk-demos
Yeachan-Heo/oh-my-claudecode,10764,10764,741,37,37,3,https://github.com/Yeachan-Heo/oh-my-claudecode
timothywarner-org/claude-code,202,202,29,0,0,0,https://github.com/timothywarner-org/claude-code
ericbuess/claude-code-docs,742,742,105,0,0,0,https://github.com/ericbuess/claude-code-docs
code-yeongyu/oh-my-openagent,42058,42058,3129,70,70,0,https://github.com/code-yeongyu/oh-my-openagent
daymade/claude-code-skills,699,699,107,2,2,0,https://github.com/daymade/claude-code-skills
github/spec-kit,79112,79112,6705,115,115,10,https://github.com/github/spec-kit
anomalyco/opencode,126935,126935,13405,275,275,27,https://github.com/anomalyco/opencode
ccplugins/awesome-claude-code-plugins,641,641,145,0,0,1,https://github.com/ccplugins/awesome-claude-code-plugins
severity1/claude-code-prompt-improver,1298,1298,111,1,1,0,https://github.com/severity1/claude-code-prompt-improver
MadAppGang/claude-code,248,248,25,0,0,0,https://github.com/MadAppGang/claude-code
lyconear/Claude-Code,4,4,149,0,0,0,https://github.com/lyconear/Claude-Code
numman-ali/openskills,9146,9146,585,3,3,0,https://github.com/numman-ali/openskills
disler/pi-vs-claude-code,514,514,152,3,3,2,https://github.com/disler/pi-vs-claude-code
greggh/claude-code.nvim,1941,1941,62,1,1,0,https://github.com/greggh/claude-code.nvim
anthropics/claude-agent-sdk-python,5634,5634,754,8,8,1,https://github.com/anthropics/claude-agent-sdk-python
manzaltu/claude-code-ide.el,1417,1417,87,1,1,1,https://github.com/manzaltu/claude-code-ide.el
PleasePrompto/notebooklm-skill,4772,4772,495,14,14,1,https://github.com/PleasePrompto/notebooklm-skill
OthmanAdi/planning-with-files,16687,16687,1527,23,23,2,https://github.com/OthmanAdi/planning-with-files
